Iteration,Time (s)
1,0.002
2,0.002
3,0.001
4,0.002
5,0.001
6,0.003
7,0.002
8,0.002
9,0.001
10,0.002
11,0.002
12,0.003
13,0.002
14,0.002
15,0.002
16,0.001
17,0.002
18,0.001
19,0.001
20,0.002
21,0.002
22,0.001
23,0.001
24,0.002
25,0.002
26,0.002
27,0.001
28,0.001
29,0.002
30,0.001
31,0.002
32,0.005
33,0.001
34,0.001
35,0.001
36,0.002
37,0.002
38,0.002
39,0.001
40,0.001
41,0.002
42,0.001
43,0.002
44,0.001
45,0.001
46,0.001
47,0.002
48,0.002
49,0.001
50,0.001
51,0.001
52,0.002
53,0.002
54,0.002
55,0.001
56,0.001
57,0.002
58,0.002
59,0.001
60,0.001
61,0.001
62,0.002
63,0.002
64,0.001
65,0.001
66,0.001
67,0.001
68,0.003
69,0.002
70,0.001
71,0.003
72,0.001
73,0.002
74,0.002
75,0.002
76,0.001
77,0.001
78,0.001
79,0.001
80,0.002
81,0.001
82,0.001
83,0.001
84,0.001
85,0.002
86,0.001
87,0.001
88,0.001
89,0.002
90,0.001
91,0.002
92,0.001
93,0.001
94,0.001
95,0.002
96,0.002
97,0.001
98,0.001
99,0.001
100,0.002
101,0.001
102,0.002
103,0.001
104,0.001
105,0.002
106,0.002
107,0.002
108,0.001
109,0.001
110,0.002
111,0.003
112,0.001
113,0.001
114,0.001
115,0.001
116,0.002
117,0.002
118,0.001
119,0.001
120,0.001
121,0.002
122,0.002
123,0.002
124,0.002
125,0.001
126,0.002
127,0.002
128,0.001
129,0.001
130,0.001
131,0.002
132,0.001
133,0.002
134,0.001
135,0.001
136,0.001
137,0.004
138,0.001
139,0.001
140,0.001
141,0.001
142,0.003
143,0.002
144,0.002
145,0.001
146,0.001
147,0.002
148,0.002
149,0.003
150,0.001
151,0.001
152,0.001
153,0.002
154,0.001
155,0.001
156,0.001
157,0.001
158,0.002
159,0.002
160,0.002
161,0.001
162,0.001
163,0.002
164,0.002
165,0.001
166,0.001
167,0.001
168,0.001
169,0.002
170,0.001
171,0.001
172,0.001
173,0.002
174,0.002
175,0.002
176,0.002
177,0.001
178,0.003
179,0.002
180,0.001
181,0.001
182,0.001
183,0.001
184,0.001
185,0.002
186,0.002
187,0.001
188,0.001
189,0.003
190,0.001
191,0.002
192,0.001
193,0.001
194,0.002
195,0.002
196,0.001
197,0.001
198,0.001
199,0.001
200,0.002
201,0.002
202,0.001
203,0.002
204,0.001
205,0.001
206,0.002
207,0.001
208,0.001
209,0.001
210,0.001
211,0.003
212,0.002
213,0.001
214,0.001
215,0.001
216,0.002
217,0.002
218,0.001
219,0.001
220,0.001
221,0.002
222,0.001
223,0.001
224,0.002
225,0.002
226,0.002
227,0.002
228,0.001
229,0.001
230,0.001
231,0.001
232,0.003
233,0.001
234,0.001
235,0.001
236,0.002
237,0.002
238,0.002
239,0.001
240,0.001
241,0.001
242,0.003
243,0.002
244,0.001
245,0.001
246,0.001
247,0.002
248,0.002
249,0.002
250,0.002
251,0.001
252,0.002
253,0.002
254,0.002
255,0.001
256,0.001
257,0.002
258,0.001
259,0.001
260,0.001
261,0.001
262,0.002
263,0.001
264,0.002
265,0.001
266,0.001
267,0.001
268,0.002
269,0.003
270,0.001
271,0.001
272,0.001
273,0.001
274,0.002
275,0.002
276,0.001
277,0.001
278,0.001
279,0.001
280,0.001
281,0.001
282,0.001
283,0.001
284,0.001
285,0.002
286,0.001
287,0.001
288,0.001
289,0.002
290,0.001
291,0.001
292,0.001
293,0.001
294,0.001
295,0.002
296,0.002
297,0.001
298,0.001
299,0.001
300,0.002
301,0.001
302,0.002
303,0.001
304,0.001
305,0.001
306,0.001
307,0.002
308,0.001
309,0.001
310,0.002
311,0.002
312,0.001
313,0.001
314,0.001
315,0.001
316,0.002
317,0.001
318,0.001
319,0.001
320,0.001
321,0.001
322,0.001
323,0.001
324,0.001
325,0.001
326,0.001
327,0.002
328,0.002
329,0.001
330,0.001
331,0.001
332,0.002
333,0.001
334,0.002
335,0.001
336,0.002
337,0.001
338,0.002
339,0.002
340,0.001
341,0.001
342,0.001
343,0.002
344,0.002
345,0.002
346,0.001
347,0.001
348,0.001
349,0.001
350,0.002
351,0.001
352,0.001
353,0.002
354,0.002
355,0.002
356,0.002
357,0.001
358,0.001
359,0.001
360,0.002
361,0.001
362,0.001
363,0.001
364,0.001
365,0.002
366,0.002
367,0.002
368,0.001
369,0.001
370,0.001
371,0.002
372,0.002
373,0.001
374,0.001
375,0.001
376,0.002
377,0.002
